id,Novel,NewActor,Extent-v,AvgMotion-v,PersonSize,People,#Actions
YSKX3,-3.3253,161,6.16,0.0062851,128.97,1,5
T5ECU,4.6747,55,15.507,0.0039062,120.45,2,14
AAH6R,-3.3253,134,5.54,8.9044e-05,87.979,1,5
015XE,-4.3253,80,31.875,0.0022594,57.117,1,4
TJZ0P,9.6747,134,8.0522,0.0029306,154.38,1,23
B82GJ,-4.3253,,9.525,0.013411,258.08,1,4
A1BS2,5.6747,,10.056,2.9685e-08,115.74,1,16
ZBBOO,-2.3253,,19.52,0.0067338,232.59,1,5
AF8I2,5.6747,,12.933,0.0045652,175.76,1,15
4WVTC,2.6747,,13.227,0.015024,206.16,1,11
T56KO,1.6747,0,6.7636,,125.48,1,11
DUZDL,7.6747,19,9.7895,0.017191,231.98,1,19
6H78U,5.6747,0,9.5,0.0053018,261.94,1,16
GL2JW,-1.3253,,17.2,0.0032726,97.746,1,7
GM3UK,3.6747,,8.9786,0.0030543,103.65,1,14
WISO0,4.6747,,9.8071,0.035254,131.29,1,14
YN3AA,9.6747,0,11.65,2.9685e-08,193.72,1,20
YSE1G,1.6747,,8.0154,0.0042058,216.09,1,13
RS6EK,-1.3253,,21.363,0.0022006,108.38,1,8
MAUMO,2.6747,,15.407,0.0030977,56.878,1,15
5EEXF,6.6747,70,8.3444,0.0042255,145.68,1,18
L3ZRP,1.6747,,17.018,0.0087177,184.5,1,11
VW4UD,5.6747,,11,0.0073325,171.77,1,16
VCYH8,-3.3253,0,5.05,2.9685e-08,272.53,1,4
CUSTU,1.6747,,10.355,0.0080022,184.8,1,11
C10FA,8.6747,,14.021,0.0031081,141.61,1,19
9SJZ9,-1.3253,,31,1.1427e-06,150.06,1,6
RNLTR,-1.3253,,10.363,0.0069359,163.84,1,8
SBI6Z,-3.3253,19,12.463,0.0028778,167.7,1,8
CDULZ,-0.32528,0,18.1,0.0067922,185.35,1,9
1FX8Q,4.6747,59,8.3143,0.012654,197.56,1,14
GF6IX,-0.32528,0,15,0.015142,171.46,1,8
3SKWW,2.6747,,19.467,0.0076365,135.87,1,12
YF6FL,-5.3253,,0,0.002544,102.85,1,1
HDHGT,1.6747,0,15.791,0.0056205,243.32,1,11
4ALLQ,-0.32528,0,17.65,2.9685e-08,196.02,1,8
GFJ98,-1.3253,0,11.057,2.9685e-08,257.97,1,7
JR6VG,-2.3253,,8.6833,0.002025,61.344,2,6
10M0F,1.6747,0,12.8,0.0079842,163.34,1,11
HFMUK,-5.3253,,0,0.013062,180.55,1,1
ZHRPD,3.6747,,13.18,0.0094043,252.96,1,15
VNQTH,2.6747,,5.4357,0.0002265,159.23,1,14
BQA97,-1.3253,,20.986,0.002091,91.478,1,7
MK16R,4.6747,55,18.633,0.0033006,125.91,2,15
Y79PC,-4.3253,,9.25,0.0027425,145.28,1,4
E9UYZ,-0.32528,,14.062,0.0050872,171.39,1,8
YK49T,6.6747,80,8.7063,0.0011164,149.17,1,16
S5KQ1,0.67472,40,10.29,0.026954,201.67,1,10
WXXYY,1.6747,43,8.6083,0.019062,227.94,1,12
LSCMZ,-2.3253,134,6.8,0.0027093,128.52,1,7
PZJMP,-5.3253,,0,0.010356,156.85,2,1
K7Z6T,-1.3253,,14.25,0.0045014,167.56,1,8
08LOY,-2.3253,,13.36,0.0047578,157.03,2,5
KV6V8,-0.32528,,15.863,0.0039399,192.94,2,8
REMG0,-0.32528,,10.457,0.011754,169.64,1,7
6IOV0,-0.32528,,16.1,0.0069101,232.73,1,9
HA8S9,-3.3253,88,12.283,0.0088534,220.99,2,6
SJ51G,2.6747,0,10.923,2.9685e-08,255.19,1,13
5RWZF,-2.3253,66,22.46,0.0026343,109.82,1,5
F75LG,2.6747,,9.5385,0.0070878,182.44,1,13
N56QO,-1.3253,134,7.3429,1.0519e-05,172.31,1,7
A7WU3,-4.3253,55,10,0.0036218,119.76,1,4
MZZ8Q,1.6747,18,5.64,0.0095828,178.02,1,10
0PU21,-2.3253,55,9.8143,0.00018971,115.17,1,7
TE4PT,1.6747,0,11.818,2.9685e-08,272.66,1,11
6IL0C,4.6747,,8.8846,0.0035241,173.32,1,13
6UU5T,-3.3253,,8,1.4784e-07,30.589,1,4
WZDXS,2.6747,0,18.567,0.00040257,230.93,1,12
7XMBM,-2.3253,,8,0.051151,204.72,2,6
AYZS4,4.6747,43,13.753,0.0033245,179.85,1,15
IAEGA,-3.3253,70,4.92,0.0036913,142.79,1,5
N1E7A,-0.32528,,10.989,0.0081555,104.06,1,9
6IHRD,0.67472,0,9.2111,2.9685e-08,224.06,1,9
FLLUJ,2.6747,88,24.733,0.0072514,158.45,2,12
SU26P,-2.3253,,7.4833,0.0029478,136.94,1,6
XHYA2,4.6747,,8.4333,0.012149,193.8,2,15
DCSYP,-2.3253,161,7.4,0.0069718,87.192,2,7
Q6290,-1.3253,,16.383,0.0029905,168.52,1,6
E6ZBZ,-2.3253,,22.95,0.0083948,258.64,1,6
J56G6,-0.32528,0,38,0.002412,150.14,2,9
4GLAP,-1.3253,0,8.4375,2.9685e-08,256.43,1,8
YB7MW,-3.3253,,33,0.0047042,98.595,1,5
CH41S,-0.32528,40,7.2,0.014156,180.7,1,7
A42EF,-0.32528,,8.2,0.006847,159.4,1,9
YE6TZ,-0.32528,,12.188,0.0034671,228.81,1,8
Z88CI,-5.3253,,0,0.0027878,99.47,1,1
UJVCW,-2.3253,,6.55,0.0033903,134.48,1,6
QLGHA,2.6747,59,16.638,0.016809,267.95,1,13
2CJC9,-0.32528,0,11.3,0.0042381,224,1,9
K7VCU,0.67472,,8.5455,0.042128,197.62,2,11
XO8NL,-0.32528,0,11.363,2.9685e-08,192.11,1,8
UE638,-1.3253,,10.05,0.0088037,202.45,2,8
OY3LS,8.6747,0,11.211,2.9685e-08,270.33,1,19
W3NN2,-0.32528,59,13.21,0.012625,214.81,1,10
X06Z6,-1.3253,,15.643,0.0027915,126.23,1,7
XF2ZM,2.6747,0,9.2143,2.9685e-08,279.91,1,14
CLAWJ,-0.32528,,10.97,0.01542,194.91,1,10
ALJ7B,0.67472,,10.518,0.0039441,147.16,1,11
TR652,0.67472,,13.367,0.0030389,153.68,1,9
LLRKS,-0.32528,,10.844,0.0028578,120.56,1,9
ZMY8M,3.6747,0,9.6867,2.9685e-08,239.55,1,15
AWN1C,-0.32528,0,11.367,2.9685e-08,191.97,1,9
5T0NX,-0.32528,134,5.025,0.00028342,62.574,1,8
1GGRY,-1.3253,,7.2875,0.0027368,82.301,1,8
Y44TV,-1.3253,,10.9,0.017009,213.53,1,7
3QL7J,-1.3253,,9.0222,0.0039157,138.24,1,9
RG0KS,3.6747,,14.923,0.013295,178.99,1,13
